# this is a simple AeroX polar csv test file
# this is synthetic aerofoil data with varying angle of attack and Reynolds number
# hence there are two x inputs and two y outputs, the tag on the second data
# point is ignored
2,2
angle of attack, "Reynolds number", drag coefficient, lift coefficient
degrees, -, -, - 
alpha, Re ,CD,  CL, RUNID
0, 1.00E+06, 0.02, 0.0, run1
2, 1.00E+06, 0.03, 0.2, run2
4, 1.00E+06, 0.03, 0.31
5, 1.00E+06, 0.05, 0.5, run4
7, 1.00E+06, 0.09, 0.6
10,1.00E+06, 0.12, 0.6 
0, 2.00E+06, 0.01, 0.0, run7
2, 2.00E+06, 0.02, 0.2006
4, 2.00E+06, 0.02, 0.3
5, 2.00E+06, 0.04, 0.5
7, 2.00E+06, 0.08, 0.6
10,2.00E+06, 0.11, 0.6
